SITC1,SITC2,Region Group,Region,Flow Type,Year,Quarter,Value (£ 000's)
0 - Food & live animals,01 - Meat & meat preparations,England,Yorkshire and The Humber,Exports (000's),2023,Q4,73387
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2023,Q1,31191
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2023,Q2,34581
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2023,Q3,33006
0 - Food & live animals,01 - Meat & meat preparations,England,East Midlands,Exports (000's),2023,Q4,36760
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2023,Q1,54588
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2023,Q2,57514
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2023,Q3,55282
0 - Food & live animals,01 - Meat & meat preparations,England,West Midlands,Exports (000's),2023,Q4,74478
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2023,Q1,43526
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2023,Q2,39105
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2023,Q3,33340
0 - Food & live animals,01 - Meat & meat preparations,England,East,Exports (000's),2023,Q4,39353
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2023,Q1,5782
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2023,Q2,6608
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2023,Q3,6169
0 - Food & live animals,01 - Meat & meat preparations,England,London,Exports (000's),2023,Q4,7087
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2023,Q1,16432
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2023,Q2,14583
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2023,Q3,14717
0 - Food & live animals,01 - Meat & meat preparations,England,South East,Exports (000's),2023,Q4,19765
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2023,Q1,34173
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2023,Q2,29659
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2023,Q3,24218
0 - Food & live animals,01 - Meat & meat preparations,England,South West,Exports (000's),2023,Q4,29879
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2023,Q1,47329
0 - Food & live animals,01 - Meat & meat preparations,Wales,Wales,Exports (000's),2023,Q2,53905
