TERRITORY_ID,LEVEL_ID,NAME_HTML,UNIT,VERSIONS,SECTOR,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
AT33,2,Tirol,Million EUR,2021,Total,38942,40189.67,41139.59,42098.45,43023.5,44090.74,45133.93,46302.12,47653.54,49098.69,50625.74,52323.75,53881.19,55363.32,57060.83,58884.51,60757.31,62479.37,64189.55,65862.1,68636.91,71027.13,73303.43,75793.65,77653.14,80125.09,82532.43,85099.59,87648.67,89390.8,91087.7,93270.15,95263.52,97219.12,99135.4,101191.48,103524.2,106080.64,108612.76,110929.35,112507.91,114350.5,115840.64,117021.07,118128.86,119233.73
AT34,2,Vorarlberg,Million EUR,2021,Total,23537,24366.99,25043.94,25723.04,26389.37,27143.31,27864.74,28645.54,29517.26,30423.35,31413.88,32528.74,33575.4,34586.44,35674.31,36730.71,37820.18,38879.12,39962.05,40967.77,41869.14,42871.63,43593.4,44347.25,45119.4,45882.76,46519.17,47272.04,47888.66,48339.55,48673.05,48978.43,49528.79,50235.75,50913.58,51392.1,52230.39,53162.92,53840.34,54711.34,55354.25,56109.65,56648.55,57011.27,57330.09,57643.9
ATZ,1,Extra-Regio,Million EUR,2021,Total,29,30.03,30.81,31.56,32.27,33.08,33.92,34.8,35.82,36.9,38.06,39.39,40.67,41.85,43.14,44.41,45.75,47.06,48.42,49.73,51.17,52.46,53.95,55.1,57.28,58.95,60.26,61.28,62.9,63.39,63.6,63.85,64.08,64.3,64.52,64.73,65.18,65.65,66.37,66.87,68.76,63.98,59.05,54.03,48.85,26.84
ATZZ,2,Extra-Regio,Million EUR,2021,Total,29,30.03,30.81,31.56,32.27,33.08,33.92,34.8,35.82,36.9,38.06,39.39,40.67,41.85,43.14,44.41,45.75,47.06,48.42,49.73,51.17,52.46,53.95,55.1,57.28,58.95,60.26,61.28,62.9,63.39,63.6,63.85,64.08,64.3,64.52,64.73,65.18,65.65,66.37,66.87,68.76,63.98,59.05,54.03,48.85,26.84
BE,0,Belgium,Million EUR,2021,Total,573701,584057.64,592252.96,597540.32,603372.57,610545.82,618381.16,627826.41,643683.07,664647.78,689254.2,709543.2,729093.06,745794.31,761609.05,777689.42,792464.35,809609.59,826449.55,843928.82,863348.33,881738.76,894692.12,905063.07,919827.82,936781.8,953222.08,973616.07,993751.38,1006022.05,1016894.6,1030886.74,1044147.02,1054662.26,1068894.32,1085535.12,1104906.32,1124920.54,1146507.09,1171524.38,1188616.96,1209787.63,1229218.98,1252226.65,1275638.46,1299104.43
BE1,1,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,2021,Total,102019,103039.97,103563.7,103477.76,103409.47,103497.49,103617.16,103931.64,105206.39,107167.83,109576.9,111148.09,112483.34,113264.93,113797.91,114241.93,114336.27,114839.13,115202.75,115592.19,116323.63,116952.07,116791.83,116272.7,116743.36,117340.3,118637.6,119490.49,120153.14,119416.32,118139.02,116760.14,114904.64,113127.37,112121.29,111140.61,110263.16,109846.12,109683.05,109750.32,109180.34,108174.72,107150.46,106545.95,105926.5,105244.16
BE10,2,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,Million EUR,2021,Total,102019,103039.97,103563.7,103477.76,103409.47,103497.49,103617.16,103931.64,105206.39,107167.83,109576.9,111148.09,112483.34,113264.93,113797.91,114241.93,114336.27,114839.13,115202.75,115592.19,116323.63,116952.07,116791.83,116272.7,116743.36,117340.3,118637.6,119490.49,120153.14,119416.32,118139.02,116760.14,114904.64,113127.37,112121.29,111140.61,110263.16,109846.12,109683.05,109750.32,109180.34,108174.72,107150.46,106545.95,105926.5,105244.16
BE2,1,Vlaams Gewest,Million EUR,2021,Total,337409,344725.06,350895.9,355447.15,360372.18,366112.16,372284.55,379463.32,390548.93,404805.99,421393.07,435355.94,448893.2,460744.36,472127.8,483695.44,494622.86,506875.36,519187.7,531931.76,546118.89,559948.37,570698.29,580123.05,592341.31,606079.33,618529.69,633601.8,648613.02,658826.11,668724.88,680538.02,692322,702185.89,713732.43,724896.33,741755.81,758001.01,775485.08,796089.16,811461.44,829315.05,845940.82,864932,884261.7,903706.29
BE21,2,Prov. Antwerpen,Million EUR,2021,Total,107119,108697.55,109894.42,110542.04,111325.49,112358.05,113466.21,114829.85,117347.85,120871.05,125067.4,128443.45,131695.93,134396.01,136950.78,139581.66,141965.9,144728.66,147531.19,150417.81,154075.1,157975.46,161259.23,164475.33,168909.12,174185.33,177865.7,183102.51,188265.96,191911.94,194485.31,198199.74,201383.4,203614.41,207514.52,211123.45,217739.57,223057.31,228402.01,233567.74,236817.01,242155.63,247207.94,253012.84,258920.98,264860.68
BE22,2,Prov. Limburg,Million EUR,2021,Total,41633,43007.91,44295.17,45403.33,46514.46,47712.96,49016.93,50500.05,52588.06,55037.15,57772.33,60043.61,62232.27,64275.36,66236.01,68189.87,70121.13,72246.64,74364.21,76520.52,78661.72,80549.24,81861.77,82811.82,84128.31,85300.64,87288.01,89072.96,90570.16,91828.47,92899.13,94108.15,95286.8,96153.95,96572.43,97120.87,97802.26,99135.52,100802.77,103314.2,104976.6,107233.08,109396.95,111827.63,114301.94,116795.27
BE23,2,Prov. Oost-Vlaanderen,Million EUR,2021,Total,72174,73732.59,75040.74,76016.45,77085.64,78340.61,79699.57,81255.58,83635.99,86703.38,90222.61,93173.2,96025.31,98491.33,100857.02,103271.52,105538.76,108064.56,110508.3,113113.27,116064.07,118997.88,121348.49,123472.06,125638.1,127917.9,130768.35,133926.67,136874.61,139198.17,141438.8,143993.34,146725.61,149362.31,151901.58,154725.33,157764.29,161189.78,164915.13,169374.74,173129.8,176893.91,180451.42,184507.2,188635.34,192788.84
BE24,2,Prov. Vlaams-Brabant,Million EUR,2021,Total,51054,52157.23,53081.54,53756.07,54484.05,55338.91,56257.61,57342.88,59013.15,61142.01,63675.51,65918.85,68123.96,70065.21,71943.12,73845.18,75720.76,77875.67,80060.19,82367.86,84811.42,87065.49,88662.18,89906.92,91595.72,93468.51,94700.5,96474.1,98325.52,98889.28,99960.87,101465.5,103055.66,104657.29,106533.89,108346.88,111256.59,113661.7,116104.8,119707.66,122529.37,125203.5,127219.46,129636.16,132095.1,134556.72
BE25,2,Prov. West-Vlaanderen,Million EUR,2021,Total,65429,67129.78,68584.02,69729.26,70962.53,72361.62,73844.25,75534.97,77963.87,81052.39,84655.22,87776.84,90815.73,93516.44,96140.86,98807.22,101276.31,103959.83,106723.8,109512.3,112506.58,115360.31,117566.63,119456.93,122070.06,125206.95,127907.14,131025.56,134576.77,136998.25,139940.77,142771.29,145870.53,148397.94,151210.01,153579.8,157193.1,160956.7,165260.37,170124.82,174008.66,177828.93,181665.05,185948.16,190308.33,194704.77
BE3,1,Région wallonne,Million EUR,2021,Total,133437,135436.29,136919.8,137728.69,138690.19,140019.4,141545.58,143478.07,146945.41,151655.09,157223.31,161942.21,166584.36,170621.58,174489.71,178527.57,182251.52,186608.42,190739.6,195051.31,199523.39,203436.67,205795.07,207265.39,209334.71,211915.06,214606.49,219094.57,223541.85,226274.82,228537.26,232111.97,235467.67,237909.86,241616.58,248091.32,251448.18,255647.04,259945.09,264313.14,266581.54,270900.95,274728.96,279346.38,284044.3,288744.52
BE31,2,Prov. Brabant wallon,Million EUR,2021,Total,12335,12500.88,12623.51,12689.41,12778.11,12916.36,13082.9,13305.21,13713.74,14295.75,15017.22,15701.25,16406.53,17081.92,17778.1,18574.92,19352.86,20212.89,21060.61,21953.53,22883.91,23740.1,24358.34,24840.68,25455.73,26393.39,27187.53,28399.23,29347.81,30206.67,30594.14,31713.02,33038.53,34434.22,36436.4,40628.42,42253.52,44008.48,45640.47,47437.83,48995.87,50826.06,52348.73,54062.11,55806.22,57563.42
BE32,2,Prov. Hainaut,Million EUR,2021,Total,44662,44835.19,44851.2,44650.74,44502.52,44473.7,44511.74,44687.94,45361.88,46426.24,47762.84,48776.67,49747.52,50518.5,51230.32,51966.65,52548.99,53365.52,54034.04,54735.88,55616.4,56462,56956.28,57311.86,57414.76,57696.69,58160.4,58786.49,59889.94,60380.65,60868.03,61387.18,61908.6,62051.05,62838.53,63863.06,64197.44,65060.1,65891.61,66704.32,66727.18,67295.23,67823.95,68568.76,69325.82,70072.64
BE33,2,Prov. Liège,Million EUR,2021,Total,49688,50797.29,51673.31,52266.63,52910.07,53655,54448.27,55351.65,56771.54,58588.75,60657.22,62407.93,64086.15,65482.94,66791.18,68106.27,69351.37,70751.97,72124.47,73548.09,74910.64,75979.77,76458.72,76553.57,76891.23,77129.61,77358.41,78272.8,79167.73,79448.1,79752.9,80595.46,81219.51,81634.95,81996.19,82398.03,83068.28,83942.25,84870.44,85865.72,86018.47,86792,87462.58,88347.54,89247.4,90140.15
BE34,2,Prov. Luxembourg,Million EUR,2021,Total,10428,10723.78,10991.13,11213.31,11449.63,11726.03,12023.94,12366.68,12848.86,13454.71,14151.26,14786.83,15434.73,16034.6,16621.5,17223.93,17797.2,18427.06,19056.03,19683.1,20287.51,20803.27,21146.45,21374.59,21779.68,22231,22665.9,23348.48,23929.24,24299.99,24778.68,25292.25,25573.15,25851.93,26107.58,26450.96,26815.24,27149.2,27587.61,27951.43,28248.12,28787.5,29325.14,29928.34,30542.37,31161.19
BE35,2,Prov. Namur,Million EUR,2021,Total,16324,16579.15,16780.64,16908.59,17049.87,17248.31,17478.73,17766.6,18249.38,18889.65,19634.76,20269.54,20909.43,21503.63,22068.62,22655.79,23201.09,23850.98,24464.45,25130.71,25824.94,26451.53,26875.28,27184.69,27793.3,28464.37,29234.24,30287.57,31207.12,31939.43,32543.51,33124.06,33727.87,33937.72,34237.87,34750.84,35113.7,35487.01,35954.97,36353.84,36591.91,37200.17,37768.56,38439.62,39122.48,39807.12
BEZ,1,Extra-Regio,Million EUR,2021,Total,836,856.32,873.56,886.72,900.73,916.77,933.87,953.38,982.34,1018.87,1060.92,1096.96,1132.16,1163.44,1193.63,1224.48,1253.7,1286.68,1319.5,1353.56,1382.42,1401.65,1406.93,1401.93,1408.44,1447.11,1448.3,1429.21,1443.37,1504.8,1493.44,1476.61,1452.71,1439.14,1424.02,1406.86,1439.17,1426.37,1393.87,1371.76,1393.64,1396.91,1398.74,1402.32,1405.96,1409.46
BEZZ,2,Extra-Regio,Million EUR,2021,Total,836,856.32,873.56,886.72,900.73,916.77,933.87,953.38,982.34,1018.87,1060.92,1096.96,1132.16,1163.44,1193.63,1224.48,1253.7,1286.68,1319.5,1353.56,1382.42,1401.65,1406.93,1401.93,1408.44,1447.11,1448.3,1429.21,1443.37,1504.8,1493.44,1476.61,1452.71,1439.14,1424.02,1406.86,1439.17,1426.37,1393.87,1371.76,1393.64,1396.91,1398.74,1402.32,1405.96,1409.46
BG,0,Bulgaria,Million EUR,2021,Total,,,,,,,,,,,,,,,,61001,60590.4,61401.85,62308.89,63283.68,64281.05,65983.21,67612.74,69294.92,71617.41,75496.03,80302.25,86075.12,94574.89,100063.96,102943.41,105712.03,108802.14,112003.02,114819.56,117851.87,119932.14,122147.91,124732.08,127605.22,130371.14,132125.69,134385.4,136294.18,138481.41,140875.56
BG3,1,Severna i yugoiztochna Bulgaria,Million EUR,2021,Total,,,,,,,,,,,,,,,,31190,30912.86,31238.49,31584.13,31952.52,32346.75,33522.91,33610.62,33817.23,34510.85,35579.8,37008.4,38813.25,41420.52,43166.85,43805.38,44504.48,45379.19,46645.26,48090.35,50170.36,50700.79,51332.84,52659.74,53377.35,53782.31,53962.17,54225.99,54372.49,54599.69,54884.28
BG31,2,Severozapaden,Million EUR,2021,Total,,,,,,,,,,,,,,,,7717,7638.22,7700.84,7793.5,7955.63,8087.25,8130.14,8030.93,8004.11,8012.4,8091.34,8093.43,8145.13,8350.83,8410.17,8499.26,8498.96,8491.83,8645.36,8777.38,9090.84,9093.99,9078.61,9104.81,9122.98,9084.19,8998.02,8957.81,8898.32,8849.98,8809.07
BG32,2,Severen tsentralen,Million EUR,2021,Total,,,,,,,,,,,,,,,,4014,3913.14,3885.32,3830.44,3756.61,3688.65,3763.94,3681.79,3649.43,3651.82,3690.28,3747.35,3912.25,4252.82,4320.46,4270.98,4321.89,4395.34,4448.69,4522.63,4962.98,4973.62,4999.46,5150.5,5275.6,5383.69,5490.31,5659.81,5803.89,5968.28,6147.81
